driver_id,driver_name,city,total_rides,total_earnings,avg_fare_per_ride,total_hours_online,rides_per_hour
D762,Driver_762,Delhi,26,1220.2,46.93,208.0,0.13
D4930,Driver_4930,Bangalore,70,9704.73,138.64,550.0,0.13
D3924,Driver_3924,Mumbai,60,2748.48,45.81,405.0,0.15
D1190,Driver_1190,Mumbai,54,7260.3,134.45,351.0,0.15
D3090,Driver_3090,Delhi,54,3313.8,61.37,468.0,0.12
D2693,Driver_2693,Delhi,12,658.9,54.91,72.0,0.17
D3743,Driver_3743,Chennai,60,4286.75,71.45,444.0,0.14
D4819,Driver_4819,Bangalore,44,6563.2,149.16,242.0,0.18
D2963,Driver_2963,Delhi,50,2673.5,53.47,400.0,0.13
D4307,Driver_4307,Bangalore,28,5091.36,181.83,224.0,0.13
D3905,Driver_3905,Bangalore,45,5842.5,129.83,297.0,0.15
D3221,Driver_3221,Hyderabad,15,851.46,56.76,135.0,0.11
D542,Driver_542,Hyderabad,36,3128.52,86.9,297.0,0.12
D2844,Driver_2844,Bangalore,33,5050.8,153.05,330.0,0.1
D249,Driver_249,Hyderabad,28,1628.84,58.17,252.0,0.11
D3652,Driver_3652,Chennai,84,11613.66,138.26,644.0,0.13
D1805,Driver_1805,Delhi,44,2589.6,58.85,319.0,0.14
D2242,Driver_2242,Bangalore,44,5097.24,115.85,253.0,0.17
D126,Driver_126,Mumbai,54,4106.16,76.04,450.0,0.12
D2806,Driver_2806,Bangalore,28,3697.08,132.04,168.0,0.17
D4837,Driver_4837,Bangalore,24,3585.12,149.38,200.0,0.12
D3241,Driver_3241,Hyderabad,40,1981.68,49.54,310.0,0.13
D4907,Driver_4907,Chennai,32,3643.5,113.86,256.0,0.13
D4788,Driver_4788,Mumbai,22,1862.7,84.67,165.0,0.13
D182,Driver_182,Bangalore,36,4416.42,122.68,270.0,0.13
D3694,Driver_3694,Delhi,30,1637.4,54.58,160.0,0.19
D2714,Driver_2714,Bangalore,55,5393.5,98.06,418.0,0.13
D598,Driver_598,Delhi,3,412.5,137.5,23.0,0.13
D3896,Driver_3896,Bangalore,40,5881.44,147.04,260.0,0.15
D1719,Driver_1719,Mumbai,15,1250.55,83.37,85.0,0.18
D1845,Driver_1845,Chennai,12,1551.22,129.27,,
D3867,Driver_3867,Chennai,40,4886.52,122.16,270.0,0.15
D869,Driver_869,Bangalore,20,2546.72,127.34,140.0,0.14
D4180,Driver_4180,Hyderabad,8,929.17,116.15,80.0,0.1
D2998,Driver_2998,Bangalore,33,5977.2,181.13,187.0,0.18
D3099,Driver_3099,Delhi,56,2238.6,39.98,416.0,0.13
D4526,Driver_4526,Delhi,14,1057.55,75.54,,
D3200,Driver_3200,Mumbai,27,1802.25,66.75,153.0,0.18
D4770,Driver_4770,Chennai,10,1231.68,123.17,65.0,0.15
D4325,Driver_4325,Mumbai,48,5200.2,108.34,440.0,0.11
D82,Driver_82,Hyderabad,26,2136.68,82.18,182.0,0.14
D282,Driver_282,Delhi,13,558.8,42.98,65.0,0.2
D4376,Driver_4376,Delhi,36,2340.3,65.01,336.0,0.11
D1020,Driver_1020,Bangalore,20,3056.2,152.81,150.0,0.13
D1954,Driver_1954,Delhi,22,1484.86,67.49,132.0,0.17
D597,Driver_597,Hyderabad,24,1631.84,67.99,228.0,0.11
D821,Driver_821,Delhi,8,342.1,42.76,48.0,0.17
D892,Driver_892,Mumbai,40,3327.84,83.2,240.0,0.17
D1003,Driver_1003,Bangalore,18,2780.8,154.49,108.0,0.17
D2984,Driver_2984,Chennai,45,4215.51,93.68,345.0,0.13
D1730,Driver_1730,Hyderabad,12,1097.34,91.45,132.0,0.09
D4085,Driver_4085,Chennai,18,2905.47,161.42,132.0,0.14
D4460,Driver_4460,Hyderabad,28,2708.06,96.72,210.0,0.13
D3176,Driver_3176,Delhi,36,1636.8,45.47,342.0,0.11
D3054,Driver_3054,Bangalore,68,11431.76,168.11,493.0,0.14
D125,Driver_125,Bangalore,27,4920.72,182.25,234.0,0.12
D3412,Driver_3412,Chennai,45,3787.9,84.18,396.0,0.11
D1338,Driver_1338,Chennai,24,3551.76,147.99,160.0,0.15
D515,Driver_515,Mumbai,78,8208.9,105.24,585.0,0.13
D3684,Driver_3684,Chennai,7,592.59,84.66,,
D4236,Driver_4236,Bangalore,6,634.41,105.74,,
D2584,Driver_2584,Delhi,30,1738.6,57.95,150.0,0.2
D3598,Driver_3598,Delhi,26,709.0,27.27,260.0,0.1
D3329,Driver_3329,Chennai,54,7650.78,141.68,450.0,0.12
D1436,Driver_1436,Hyderabad,39,2182.11,55.95,312.0,0.13
D1331,Driver_1331,Chennai,10,1006.2,100.62,85.0,0.12
D2656,Driver_2656,Hyderabad,30,2124.04,70.8,195.0,0.15
D4785,Driver_4785,Chennai,11,1006.59,91.51,44.0,0.25
D2003,Driver_2003,Chennai,18,2098.56,116.59,117.0,0.15
D2276,Driver_2276,Chennai,15,1066.56,71.1,120.0,0.13
D1160,Driver_1160,Chennai,24,3438.33,143.26,216.0,0.11
D3017,Driver_3017,Bangalore,9,1409.19,156.58,,
D204,Driver_204,Bangalore,16,2439.68,152.48,176.0,0.09
D3475,Driver_3475,Bangalore,30,2928.8,97.63,285.0,0.11
D178,Driver_178,Hyderabad,44,4101.88,93.22,330.0,0.13
D1938,Driver_1938,Hyderabad,40,2880.12,72.0,320.0,0.13
D1043,Driver_1043,Bangalore,18,2427.04,134.84,108.0,0.17
D2181,Driver_2181,Bangalore,21,1776.75,84.61,182.0,0.12
D1100,Driver_1100,Hyderabad,45,3275.13,72.78,405.0,0.11
D1815,Driver_1815,Mumbai,63,2991.24,47.48,459.0,0.14
D2346,Driver_2346,Delhi,48,2978.43,62.05,432.0,0.11
D28,Driver_28,Chennai,16,927.68,57.98,104.0,0.15
D1767,Driver_1767,Hyderabad,22,1336.52,60.75,209.0,0.11
D3016,Driver_3016,Mumbai,40,4522.2,113.06,280.0,0.14
D1816,Driver_1816,Chennai,15,1285.44,85.7,135.0,0.11
D3607,Driver_3607,Chennai,24,3434.43,143.1,216.0,0.11
D3248,Driver_3248,Chennai,11,1062.79,96.62,,
D277,Driver_277,Chennai,72,9537.36,132.46,504.0,0.14
D336,Driver_336,Bangalore,11,1442.04,131.09,,
D2131,Driver_2131,Mumbai,9,746.76,82.97,36.0,0.25
D834,Driver_834,Mumbai,16,1192.8,74.55,96.0,0.17
D4856,Driver_4856,Bangalore,36,5080.92,141.14,300.0,0.12
D4882,Driver_4882,Chennai,16,1335.22,83.45,160.0,0.1
D2238,Driver_2238,Hyderabad,40,3989.84,99.75,330.0,0.12
D3586,Driver_3586,Delhi,6,358.6,59.77,,
D460,Driver_460,Delhi,35,2322.5,66.36,301.0,0.12
D3027,Driver_3027,Chennai,40,5436.2,135.91,300.0,0.13
D2038,Driver_2038,Hyderabad,36,1167.48,32.43,270.0,0.13
D778,Driver_778,Bangalore,44,7250.72,164.79,286.0,0.15
D228,Driver_228,Mumbai,27,1456.2,53.93,153.0,0.18
D837,Driver_837,Delhi,54,2428.8,44.98,396.0,0.14
D980,Driver_980,Delhi,36,2492.1,69.23,288.0,0.13
D1576,Driver_1576,Hyderabad,16,2254.74,140.92,136.0,0.12
D2261,Driver_2261,Mumbai,12,1764.3,147.03,96.0,0.13
D1066,Driver_1066,Mumbai,44,1596.0,36.27,363.0,0.12
D4088,Driver_4088,Mumbai,20,2617.2,130.86,190.0,0.11
D1096,Driver_1096,Mumbai,10,512.1,51.21,75.0,0.13
D3362,Driver_3362,Chennai,22,3053.74,138.81,176.0,0.13
D1232,Driver_1232,Hyderabad,32,2542.88,79.47,256.0,0.13
D1608,Driver_1608,Hyderabad,12,978.64,81.55,108.0,0.11
D871,Driver_871,Mumbai,36,2793.0,77.58,252.0,0.14
D1790,Driver_1790,Chennai,36,4121.88,114.5,315.0,0.11
D497,Driver_497,Mumbai,26,2241.6,86.22,273.0,0.1
D2206,Driver_2206,Mumbai,70,4374.6,62.49,448.0,0.16
D3545,Driver_3545,Mumbai,24,1479.24,61.64,184.0,0.13
D963,Driver_963,Hyderabad,28,2659.68,94.99,175.0,0.16
D3534,Driver_3534,Bangalore,44,5484.88,124.66,330.0,0.13
D1552,Driver_1552,Bangalore,40,5605.84,140.15,250.0,0.16
D2746,Driver_2746,Mumbai,24,1125.0,46.88,96.0,0.25
D4976,Driver_4976,Chennai,12,1515.65,126.3,72.0,0.17
D203,Driver_203,Chennai,20,1639.22,81.96,140.0,0.14
D91,Driver_91,Hyderabad,22,1603.12,72.87,176.0,0.13
D4446,Driver_4446,Hyderabad,42,2611.65,62.18,322.0,0.13
D4711,Driver_4711,Delhi,30,1385.4,46.18,230.0,0.13
